iter	RMSE
0	13.44513478
1	12.38591973
2	11.44065332
3	10.5991096
4	9.862497914
5	9.218055897
6	8.655937801
7	8.158169041
8	7.716731186
9	7.33736401
10	7.0039489
11	6.720353975
12	6.477346723
13	6.261094964
14	6.084429429
15	5.93085231
16	5.79265802
17	5.676786905
18	5.57520214
19	5.487515076
20	5.41227582
21	5.350695104
22	5.293962062
23	5.247984977
24	5.207785332
25	5.169131263
26	5.141136899
27	5.112412815
28	5.089597462
29	5.066610362
30	5.049523301
31	5.003038846
32	4.985332209
33	4.96264828
34	4.949357313
35	4.940298747
36	4.933478263
37	4.92797505
38	4.891509039
39	4.878559484
40	4.872880994
41	4.868909223
42	4.851895555
43	4.841753444
44	4.83847239
45	4.830173517
46	4.826333186
47	4.817442621
48	4.814055917
49	4.810990582
50	4.774135907
51	4.772160056
52	4.769579619
53	4.768278858
54	4.765463195
55	4.762875723
56	4.75951262
57	4.75163245
58	4.750364863
59	4.747401063
60	4.746519498
61	4.744909746
62	4.740044958
63	4.738047978
64	4.736348958
65	4.735341093
66	4.733336314
67	4.728942663
68	4.721918363
69	4.721393723
70	4.715255377
71	4.713283695
72	4.712697474
73	4.710765914
74	4.708768798
75	4.707616611
76	4.700490481
77	4.698438611
78	4.693765902
79	4.691720865
80	4.688645479
81	4.687287632
82	4.68663757
83	4.685610332
84	4.684864352
85	4.681756454
86	4.676894561
87	4.675150517
88	4.672885033
89	4.667870505
90	4.665157718
91	4.663486605
92	4.660958682
93	4.658226547
94	4.65651323
95	4.651325796
96	4.650290379
97	4.648252433
98	4.647684131
99	4.645052741
100	4.623094349
101	4.621998793
102	4.62118531
103	4.619984513
104	4.618905582
105	4.615473216
106	4.614797728
107	4.614274679
108	4.607976642
109	4.606686432
110	4.605100748
111	4.60327455
112	4.601474339
113	4.599797368
114	4.586550099
115	4.585928001
116	4.58529878
117	4.583506462
118	4.582690202
119	4.581524005
120	4.580603428
121	4.578135469
122	4.576644925
123	4.568283741
124	4.567064655
125	4.562579916
126	4.561533702
127	4.558661003
128	4.555299012
