iter	Passed	Remaining
0	196	1962994
1	374	1870480
2	561	1872171
3	765	1913646
4	992	1983705
5	1153	1922145
6	1323	1888680
7	1564	1954291
8	1891	2099475
9	2161	2159448
10	2392	2172893
11	2575	2144081
12	2722	2091371
13	2925	2086777
14	3065	2040348
15	3222	2010750
16	3456	2029546
17	3609	2001700
18	3770	1980512
19	3919	1955774
20	4197	1994557
21	4427	2007976
22	4646	2015750
23	4829	2007449
24	5134	2048595
25	5333	2045999
26	5590	2064855
27	5773	2056120
28	5989	2059410
29	6209	2063722
30	6434	2069252
31	6657	2073925
32	6854	2070321
33	7065	2071119
34	7286	2074429
35	7473	2068406
36	7681	2068306
37	7950	2084240
38	8152	2082121
39	8382	2087312
40	8548	2076428
41	8722	2068003
42	8887	2057906
43	9052	2048271
44	9268	2050486
45	9559	2068558
46	9798	2074888
47	9963	2065704
48	10294	2090624
49	10462	2082043
50	10609	2069624
51	10793	2064860
52	11043	2072721
53	11210	2064891
54	11328	2048330
55	11473	2037380
56	11642	2030956
57	11920	2043419
58	12130	2043925
59	12335	2043623
60	12770	2080734
61	13009	2085262
62	13338	2103834
63	13660	2120785
64	13875	2120764
65	14130	2126915
66	14401	2135069
67	14596	2131885
68	14810	2131587
69	15010	2129333
70	15296	2139152
71	15635	2156013
72	15868	2157838
73	16209	2174256
74	16420	2173022
75	16592	2166599
76	16822	2167970
77	17005	2163125
78	17249	2166194
79	17402	2157870
80	17768	2175888
81	17984	2175273
82	18300	2186563
83	18568	2191942
84	18755	2187767
85	18954	2185025
86	19214	2189324
87	19412	2186562
88	19646	2187807
89	19797	2179974
90	20055	2183868
91	20238	2179580
92	20504	2184331
93	20726	2184173
94	20911	2180331
95	21073	2174077
96	21299	2174519
97	21550	2177500
98	21728	2173031
99	21900	2168179
100	22125	2168538
101	22296	2163621
102	22484	2160483
103	22650	2155292
104	22780	2146747
105	22922	2139621
106	23097	2135574
107	23374	2140931
108	23577	2139475
109	23733	2133849
110	23907	2129918
111	24046	2122954
112	24160	2113956
113	24361	2112609
114	24532	2108743
115	24733	2107474
116	25002	2111970
117	25173	2108176
118	25375	2107054
119	25564	2104846
120	25809	2107244
121	26038	2108288
122	26301	2112009
123	26458	2107299
124	26637	2104383
125	26833	2102786
126	27022	2100762
127	27208	2098431
128	27348	2092686
129	27551	2091816
130	27789	2093545
131	28005	2093619
132	28205	2092482
133	28395	2090700
134	28583	2088694
135	28756	2085721
136	28889	2079830
137	29165	2084261
138	29372	2083766
139	29604	2084984
140	29812	2084581
141	30010	2083375
142	30282	2087377
143	30466	2085230
144	30667	2084325
145	30899	2085536
146	31070	2082596
147	31269	2081547
148	31521	2084009
149	31717	2082786
150	31964	2084917
151	32172	2084462
152	32338	2081287
153	32591	2083732
154	32757	2080608
155	32924	2077596
156	33113	2076046
157	33306	2074713
158	33476	2071947
159	33675	2071049
160	33861	2069349
161	34034	2066880
162	34204	2064234
163	34353	2060366
164	34569	2060558
165	34751	2058731
166	34944	2057532
167	35191	2059548
168	35385	2058403
169	35565	2056498
170	35765	2055785
171	35933	2053201
172	36199	2056273
173	36363	2053488
174	36565	2052882
175	36808	2054562
176	37054	2056434
177	37329	2059854
178	37573	2061478
179	37834	2064073
180	38055	2064453
181	38217	2061669
182	38378	2058794
183	38557	2056978
184	38729	2054732
185	38950	2055139
186	39095	2051561
187	39308	2051589
188	39518	2051425
189	39670	2048258
190	39901	2049194
191	40034	2045077
192	40214	2043451
193	40418	2043011
194	40599	2041450
195	40736	2037652
196	40876	2034049
197	41116	2035491
198	41303	2034269
199	41466	2031857
200	41723	2034069
201	41953	2034949
202	42113	2032423
203	42304	2031466
204	42476	2029551
205	42628	2026727
206	42802	2024939
207	42964	2022657
208	43150	2021446
209	43320	2019546
210	43455	2016029
211	43703	2017793
212	43871	2015800
